node_id,lat,lon
4387520872,-7.3120962,107.0914638
4387520908,-7.3141268,107.0917508
4387520992,-7.2967563,107.0977496
4387520999,-7.3016196,107.0955126
4387521009,-7.3152515,107.0916945
4387521043,-7.2984497,107.0959443
4387525292,-7.3226614,107.0662636
4387582554,-7.4510937,107.134603
4387582562,-7.4539509,107.132915
4387582567,-7.456164,107.1321582
4387607150,-7.4412053,107.1842671
4387610535,-7.4566994,107.1568201
4387610555,-7.4545865,107.1656927
4387610562,-7.4464194,107.175645
4387610572,-7.4457287,107.1761937
4387610584,-7.4447797,107.1751202
4387610708,-7.45791,107.1559762
4388661750,-7.3177716,107.3169759
4388663690,-7.3199772,107.3173466
4388663795,-7.3108574,107.3163024
4389072621,-7.3370003,107.2042197
4389072627,-7.339488,107.2089974
4389072631,-7.3375051,107.2048267
4389072638,-7.3382379,107.2074158
4389072640,-7.3380904,107.217726
4389072641,-7.3382373,107.2078844
4389073010,-7.3387463,107.2324586
4389073271,-7.3394704,107.2089458
4389073496,-7.3335074,107.2039985
4389088226,-7.3381287,107.2348793
4389088259,-7.3382483,107.2354221
4389091412,-7.3229926,107.2566215
4389091432,-7.3332631,107.2459668
4389091506,-7.322717,107.2561202
4390117149,-7.3061713,107.3186297
4390117171,-7.3304224,107.3277407
4390118256,-7.3315993,107.3212296
4390118326,-7.3375789,107.3287348
4390118390,-7.3378203,107.3185273
4390118447,-7.3301893,107.3212229
4390118453,-7.3217574,107.3199931
4390118585,-7.3279918,107.3278332
4390118593,-7.342867,107.3260072
4390130439,-7.3442539,107.2913414
4390130446,-7.3134265,107.2729112
4390130465,-7.3229796,107.2575137
4390130475,-7.3350104,107.2552903
4390130511,-7.3156362,107.2995938
4390130534,-7.3175501,107.2694436
4390130562,-7.3405863,107.2932243
4390130568,-7.3211771,107.2597781
4390130571,-7.3119167,107.2991057
4390130612,-7.3214002,107.2597301
4390130656,-7.34168,107.2932055
4390130684,-7.3390625,107.2934999
4390130746,-7.324128,107.2611847
4390130778,-7.3137792,107.2727138
4390130987,-7.3216344,107.2620439
4390131098,-7.3210439,107.2631934
4390142994,-7.3521374,107.224567
4390143025,-7.3433535,107.2340755
4390143174,-7.3623897,107.2218499
4390143188,-7.3432364,107.2368393
4390143203,-7.3394366,107.2390301
4390143204,-7.3442087,107.2322098
4390143274,-7.3686702,107.2167684
4390143285,-7.3668893,107.218072
4390149576,-7.3916383,107.217142
4390149584,-7.390998,107.2222441
4390154999,-7.3933959,107.2159304
4390155015,-7.397544,107.2171133
4390155028,-7.3919876,107.2110607
4390155032,-7.3826113,107.217671
4390155076,-7.3934437,107.2154314
4390155078,-7.3917868,107.2129972
4390155084,-7.4009486,107.2220875
4390155313,-7.399451,107.2208509
4390155326,-7.3755796,107.2175838
4390155351,-7.366844,107.2181927
4390155356,-7.3912905,107.2191625
4390155375,-7.3824643,107.2179666
4390155382,-7.3936087,107.2166771
4390155397,-7.3891255,107.2159503
4390155405,-7.3971223,107.2165282
4390155450,-7.3945636,107.2164598
4396020744,-7.2133137,107.2855362
4396022408,-7.2289047,107.2325493
4396022768,-7.229402,107.2352092
4396023002,-7.2278591,107.2231923
4396028509,-7.2137432,107.2896965
4396028550,-7.2141781,107.2895165
4981622302,-7.4536442,107.1140384
4981628376,-7.4494627,107.1364972
4981628380,-7.4509826,107.1365207
4981628382,-7.4522594,107.133925
4981628385,-7.4523836,107.135759
4981628390,-7.4527654,107.1336166
4981628725,-7.4515061,107.1354243
4981628726,-7.4520086,107.1351327
4981628727,-7.4515359,107.1343489
4981628728,-7.4511674,107.1337099
4981628729,-7.4503167,107.1327919
4981628731,-7.4500725,107.1324634
4984111906,-7.4953063,107.3786788
4984111911,-7.4976161,107.3862594
4984111912,-7.4977286,107.3858342
4984111913,-7.4981024,107.3859371
4984111916,-7.4972649,107.3856587
4984111917,-7.4994584,107.3839922
4984115721,-7.4993071,107.3846248
4984115729,-7.498742,107.3859344
4984115743,-7.4960216,107.3852263
4984115745,-7.4957184,107.3841561
4984115746,-7.4955726,107.3838043
4984132217,-7.4998394,107.4050595
4984303395,-7.4558968,107.1443748
4984303409,-7.4583206,107.1417328
4989234891,-7.461785,107.155708
4989238859,-7.4512872,107.1553632
4989238876,-7.450022,107.1495398
4989239456,-7.4670149,107.1567022
4989239460,-7.4668068,107.1561644
4989239974,-7.4610524,107.1591698
4989240452,-7.4514268,107.1393835
4994223089,-7.4732659,107.2551039
4994223111,-7.473591,107.2494243
4994223276,-7.4723477,107.2600174
4994223285,-7.463982,107.2562774
4994223286,-7.463783,107.2571412
4994223295,-7.4640771,107.2596062
4994223313,-7.4670807,107.261362
4994223321,-7.4694442,107.2607912
4994223330,-7.4706463,107.2573536
4994223386,-7.483952,107.2549363
4994223390,-7.4845045,107.2555498
4994223393,-7.4856769,107.2559602
4994223412,-7.482954,107.2443078
5239478910,-7.4884042,107.3548449
5239478916,-7.4851444,107.3606623
5239478917,-7.4855834,107.3602431
5239479022,-7.4868085,107.3551324
5239479023,-7.4871569,107.3562253
5239479024,-7.4876794,107.3564285
5239479028,-7.4863962,107.3535107
